id,player_id,games,pos,points,rebounds,assists,steals,blocks,turnovers,fg_percentage,three_point_percentage,free_throw_percentage,updated_at,minutes,case_name
176,200,711,4,7.5,6,1.2,1,0.6,1.2,0.42,0.332,0.746,"2024-12-16 00:42:44",24.9,"Al-Farouq Aminu"
177,202,1260,3,22.5,6.2,2.7,1,0.5,2.4,0.447,0.355,0.814,"2024-12-16 00:42:44",34.5,"Carmelo Anthony"
178,203,277,1,12.7,4.4,3.9,0.7,0.4,1.9,0.416,0.342,0.846,"2024-12-16 00:42:44",25.1,"Cole Anthony"
179,204,976,1,9.5,1.8,3.9,0.6,0,1.5,0.412,0.381,0.867,"2024-12-16 00:42:44",23.4,"D.J. Augustin"
180,205,7,2,0.3,0.4,0.6,0,0,0,0.167,0,-1,"2024-12-16 00:42:44",2.9,"Joel Ayayi"
181,206,84,5,3,2.8,0.2,0.1,0.4,0.4,0.758,-1,0.444,"2024-12-16 00:42:44",8.6,"Udoka Azubuike"
182,207,207,2,7.3,2.6,1.1,0.5,0.1,0.6,0.402,0.314,0.78,"2024-12-16 00:42:44",19.4,"Dwayne Bacon"
183,208,261,1,11.7,5.6,6.1,1.5,0.6,2.5,0.4,0.364,0.586,"2024-12-16 00:42:44",32,"Lonzo Ball"
184,209,343,5,6.9,5.5,0.9,0.4,1.3,0.8,0.477,0.358,0.68,"2024-12-16 00:42:44",17,"Mo Bamba"
185,210,262,2,17.3,4.3,3.4,1,0.4,1.7,0.467,0.41,0.876,"2024-12-16 00:42:44",28.9,"Desmond Bane"
186,211,172,1,6.6,2.3,1.9,0.6,0.3,1.1,0.412,0.306,0.715,"2024-12-16 00:42:44",14,"Dalano Banton"
187,212,936,4,14,4.8,1.8,0.7,0.2,1.2,0.457,0.381,0.81,"2024-12-16 00:42:44",31.5,"Harrison Barnes"
188,213,352,2,18.8,5.5,3.1,0.7,0.3,2.2,0.437,0.346,0.711,"2024-12-16 00:42:44",33.3,"RJ Barrett"
189,214,679,2,11.2,4.1,2.7,0.7,0.4,1.4,0.43,0.355,0.787,"2024-12-16 00:42:44",25.2,"Will Barton"
190,215,93,5,4.3,4.2,0.9,0.4,0.9,0.8,0.638,0.231,0.618,"2024-12-16 00:42:44",11.3,"Charles Bassey"
